report_date	report	source_family_id	arxiv_id	primary_identifier	prior_first_public_date	published	updated	primary_category	latest_version	scheduled_announcement_et	schedule_first_public_asia_shanghai	schedule_owner_report_date	datacite_doi	datacite_created	datacite_registered	datacite_owner_report_date	datacite_created_et_month	resolved_owner_report_date	schedule_matches_datacite_owner	identifier_month_matches_owner	reconciliation	withdrawn_keyword_signal	prior_state	prior_review_status	prior_books_disposition	title
2026-06-01	papers/2026/06/01/README.md	SF-METASTABLE-FAULT-SCHEDULING	2606.00942	arXiv:2606.00942v1	2026-05-31	2026-05-31T01:04:27Z	2026-06-02T16:15:24Z	cs.OS	2606.00942v2	2026-06-01T20:00:00-04:00	2026-06-02T08:00:00+08:00	2026-06-02	10.48550/arxiv.2606.00942	2026-06-02T04:03:31Z	2026-06-02T04:03:32Z	2026-06-02	2606	2026-06-02	yes	yes	owner_move_required	no	retained	deep_complete	No Change — Existing Coverage	Characterizing Metastable Faults and Failures
2026-06-01	papers/2026/06/01/README.md	SF-PRISM-DP-LORA	2606.00944	arXiv:2606.00944v1	2026-05-31	2026-05-31T01:19:03Z	2026-05-31T01:19:03Z	cs.LG	2606.00944v1	2026-06-01T20:00:00-04:00	2026-06-02T08:00:00+08:00	2026-06-02	10.48550/arxiv.2606.00944	2026-06-02T04:03:34Z	2026-06-02T04:03:34Z	2026-06-02	2606	2026-06-02	yes	yes	owner_move_required	no	retained	deep_complete	No Change — Existing Coverage	PRISM: Gauge-Invariant Tangent-Space Differentially Private LoRA
2026-06-01	papers/2026/06/01/README.md	SF-LODESTAR-ONLINE-ROUTER	2606.00946	arXiv:2606.00946v1	2026-05-31	2026-05-31T01:31:02Z	2026-05-31T01:31:02Z	cs.DC	2606.00946v1	2026-06-01T20:00:00-04:00	2026-06-02T08:00:00+08:00	2026-06-02	10.48550/arxiv.2606.00946	2026-06-02T04:03:37Z	2026-06-02T04:03:37Z	2026-06-02	2606	2026-06-02	yes	yes	owner_move_required	no	retained	deep_complete	No Change — Existing Coverage	Lodestar: An Online-Learning LLM Inference Router
2026-06-01	papers/2026/06/01/README.md	SF-FED-PERSONALIZATION-SILENT-FAILURES	2606.00947	arXiv:2606.00947v1	2026-05-31	2026-05-31T01:33:11Z	2026-06-11T18:04:27Z	cs.LG	2606.00947v2	2026-06-01T20:00:00-04:00	2026-06-02T08:00:00+08:00	2026-06-02	10.48550/arxiv.2606.00947	2026-06-02T04:03:38Z	2026-06-02T04:03:39Z	2026-06-02	2606	2026-06-02	yes	yes	owner_move_required	no	retained	deep_complete	Integrate	Silent Failures in Federated Personalization of Foundation Models
2026-06-01	papers/2026/06/01/README.md	SF-COHESION-AWARE-MAS-PARTITIONING	2606.00953	arXiv:2606.00953v1	2026-05-31	2026-05-31T02:10:12Z	2026-05-31T02:10:12Z	cs.LG	2606.00953v1	2026-06-01T20:00:00-04:00	2026-06-02T08:00:00+08:00	2026-06-02	10.48550/arxiv.2606.00953	2026-06-02T04:03:46Z	2026-06-02T04:03:47Z	2026-06-02	2606	2026-06-02	yes	yes	owner_move_required	no	retained	deep_complete	No Change — Existing Coverage	When Parallelism Pays Off: Cohesion-Aware Task Partitioning for Multi-Agent Coding
2026-06-01	papers/2026/06/01/README.md	SF-ASYNC-AUTOFORMAL-PLANNING	2606.00981	arXiv:2606.00981v1	2026-05-31	2026-05-31T03:28:42Z	2026-05-31T03:28:42Z	cs.CL	2606.00981v1	2026-06-01T20:00:00-04:00	2026-06-02T08:00:00+08:00	2026-06-02	10.48550/arxiv.2606.00981	2026-06-02T04:04:27Z	2026-06-02T04:04:28Z	2026-06-02	2606	2026-06-02	yes	yes	owner_move_required	no	retained	deep_complete	No Change — Existing Coverage	Robust Asynchronous Planning via Auto-Formalization
2026-06-01	papers/2026/06/01/README.md	SF-ORDER-AGNOSTIC-CHAIN-RULE	2606.00997	arXiv:2606.00997v1	2026-05-31	2026-05-31T04:25:36Z	2026-05-31T04:25:36Z	cs.CL	2606.00997v1	2026-06-01T20:00:00-04:00	2026-06-02T08:00:00+08:00	2026-06-02	10.48550/arxiv.2606.00997	2026-06-02T04:04:50Z	2026-06-02T04:04:51Z	2026-06-02	2606	2026-06-02	yes	yes	owner_move_required	no	retained	deep_complete	Integrate	Decoding in Order-Agnostic Language Models: Chain-Rule Deviation and Uniform Spreading
2026-06-01	papers/2026/06/01/README.md	SF-TRAIT-MISALIGNMENT-MONITOR	2606.07631	arXiv:2606.07631v1	2026-05-31	2026-05-31T04:28:21Z	2026-05-31T04:28:21Z	cs.LG	2606.07631v1	2026-06-01T20:00:00-04:00	2026-06-02T08:00:00+08:00	2026-06-02	10.48550/arxiv.2606.07631	2026-06-09T03:10:43Z	2026-06-09T03:10:43Z	2026-06-09	2606	2026-06-09	no	yes	owner_move_required	no	retained	deep_complete	No Change — Existing Coverage	Trait-space Monitoring for Emergent Misalignment During Supervised Finetuning
2026-06-01	papers/2026/06/01/README.md	SF-TASK-AWARE-MOE-GROUPING	2606.01007	arXiv:2606.01007v1	2026-05-31	2026-05-31T04:51:09Z	2026-05-31T04:51:09Z	cs.LG	2606.01007v1	2026-06-01T20:00:00-04:00	2026-06-02T08:00:00+08:00	2026-06-02	10.48550/arxiv.2606.01007	2026-06-02T04:05:04Z	2026-06-02T04:05:05Z	2026-06-02	2606	2026-06-02	yes	yes	owner_move_required	no	retained	deep_complete	No Change — Existing Coverage	Beyond Task-Agnostic: Task-Aware Grouping for Communication-Efficient Multi-Task MoE Inference
2026-06-01	papers/2026/06/01/README.md	SF-HYBRID-VERIFIED-DECODING	2606.01019	arXiv:2606.01019v1	2026-05-31	2026-05-31T05:22:40Z	2026-05-31T05:22:40Z	cs.CL	2606.01019v1	2026-06-01T20:00:00-04:00	2026-06-02T08:00:00+08:00	2026-06-02	10.48550/arxiv.2606.01019	2026-06-02T04:05:21Z	2026-06-02T04:05:22Z	2026-06-02	2606	2026-06-02	yes	yes	owner_move_required	no	retained	deep_complete	No Change — Existing Coverage	Hybrid Verified Decoding: Learning to Allocate Verification in Speculative Decoding
